nct_id,results_due,has_results,pending_results,any_results,overdue,reported_late,available_completion_date,due_date,first_results_submission,sponsor,sponsor_type,sponsor_class,industry_collab,us_gov_collab,phase_cat,phase,terminated,start_year,full_completion,contains_drug,contains_biological,contains_device,contains_diagnostic,contains_radiation,contains_combi_product,contains_genetic,contains_us_loc,act_flag,included_pact_flag,sponsored_trials
NCT00002663,0,0,0,0,0,0,2019-07-31,2020-07-31,,Atara Biotherapeutics,Industry,1,0,1,0.0,Phase 1/Phase 2,0,1995.0,1,0,1,0,0,0,0,0,0,0,1,10
NCT00003270,1,0,0,0,1,0,2017-10-16,2018-10-16,,Roswell Park Cancer Institute,Other,0,0,0,1.0,Phase 2,0,1997.0,1,1,1,0,0,1,0,0,0,0,1,294
NCT00004088,1,1,0,1,0,1,2018-01-09,2019-01-09,2019-05-01,City of Hope Medical Center,Other,0,0,1,1.0,Phase 2,0,1999.0,1,1,1,0,0,0,0,0,0,0,1,358
NCT00074490,1,1,0,1,0,1,2017-07-20,2018-07-20,2018-10-22,National Cancer Institute (NCI),NIH,2,0,0,1.0,Phase 2,1,2004.0,1,1,0,0,0,0,0,1,0,0,1,3004
NCT00136435,0,0,0,0,0,0,2019-07-31,2020-07-31,,Dana-Farber Cancer Institute,Other,0,0,0,1.0,Phase 2,0,2002.0,0,1,0,0,0,1,0,0,1,0,1,647
NCT00160732,0,0,0,0,0,0,2022-10-31,2023-10-31,,University of Chicago,Other,0,0,0,0.0,Phase 1/Phase 2,0,2003.0,0,1,0,0,0,0,0,0,0,0,1,594
NCT00278629,0,0,0,0,0,0,2018-12-31,2019-12-31,,Northwestern University,Other,0,0,0,1.0,Phase 2,0,2005.0,0,0,1,0,0,0,0,0,0,0,1,925
NCT00291525,0,0,0,0,0,0,2020-09-30,2021-09-30,,"On-X Life Technologies, Inc.",Industry,1,1,0,5.0,,0,2006.0,0,0,0,1,0,0,0,0,1,0,1,4
NCT00299195,0,0,0,0,0,0,2020-06-30,2021-06-30,,Memorial Sloan Kettering Cancer Center,Other,0,0,0,5.0,,0,2006.0,0,1,0,0,0,0,0,0,1,0,1,1432
NCT00317772,0,0,0,0,0,0,2019-09-30,2020-09-30,,M.D. Anderson Cancer Center,Other,0,1,0,0.0,Phase 1/Phase 2,0,2004.0,0,1,0,0,0,0,0,0,0,0,1,2066
NCT00338728,0,0,0,0,0,0,2018-11-27,2019-11-27,,M.D. Anderson Cancer Center,Other,0,0,1,1.0,Phase 2,0,2003.0,1,1,0,0,0,0,0,0,0,0,1,2066
NCT00357565,0,0,0,0,0,0,2019-12-31,2020-12-31,,"Masonic Cancer Center, University of Minnesota",Other,0,0,0,1.0,Phase 2,0,2005.0,0,1,1,0,0,0,0,0,0,0,1,218
NCT00397813,1,1,0,1,0,1,2017-09-18,2018-09-18,2018-09-25,Fred Hutchinson Cancer Research Center,Other,0,0,1,1.0,Phase 2,0,2006.0,0,1,0,0,0,1,0,0,0,0,1,393
NCT00414076,1,1,0,1,0,1,2017-07-13,2018-07-13,2018-08-09,M.D. Anderson Cancer Center,Other,0,1,0,1.0,Phase 2,1,2006.0,1,1,0,0,0,0,0,0,0,0,1,2066
NCT00467987,0,0,0,0,0,0,2019-06-30,2020-06-30,,University at Buffalo,Other,0,1,0,5.0,,0,2007.0,0,1,0,0,0,0,0,0,0,0,1,65
NCT00470704,0,0,0,0,0,0,2018-12-31,2019-12-31,,"Nancy Lin, MD",Other,0,1,0,1.0,Phase 2,0,2007.0,0,1,0,0,0,0,0,0,0,0,1,4
NCT00489281,0,1,0,1,0,0,2018-12-29,2019-12-29,2019-03-25,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Other,0,0,1,1.0,Phase 2,1,2008.0,1,1,1,0,0,1,0,0,0,0,1,461
NCT00494728,0,0,0,0,0,0,2019-06-30,2020-06-30,,M.D. Anderson Cancer Center,Other,0,0,1,0.0,Phase 1/Phase 2,0,2007.0,0,1,0,0,0,0,0,0,0,0,1,2066
NCT00495040,1,1,0,1,0,0,2017-06-14,2018-06-14,2018-02-26,M.D. Anderson Cancer Center,Other,0,0,1,1.0,Phase 2,0,2006.0,1,0,0,0,0,1,0,0,0,0,1,2066
NCT00500890,1,0,0,0,1,0,2017-12-14,2018-12-14,,M.D. Anderson Cancer Center,Other,0,0,0,3.0,Phase 3,0,2005.0,1,1,0,0,0,1,0,0,0,0,1,2066
NCT00515281,0,0,0,0,0,0,2019-07-31,2020-07-31,,University of Chicago,Other,0,0,0,2.0,Phase 2/Phase 3,0,2008.0,1,1,0,0,0,0,0,0,0,0,1,594
NCT00540995,0,0,0,0,0,0,2019-06-30,2020-06-30,,City of Hope Medical Center,Other,0,0,0,0.0,Phase 1/Phase 2,0,2006.0,1,1,0,0,0,1,0,0,0,0,1,358
NCT00611585,0,0,0,0,0,0,2026-12-31,2027-12-31,,"Smith & Nephew, Inc.",Industry,1,0,0,5.0,,0,2006.0,0,0,0,1,0,0,0,0,0,0,1,83
NCT00632853,0,0,0,0,0,0,2023-06-30,2024-06-30,,Alliance for Clinical Trials in Oncology,Other,0,0,1,3.0,Phase 3,0,2008.0,0,1,0,0,0,1,0,0,1,0,1,456
NCT00670358,0,0,0,0,0,0,2020-12-01,2021-12-01,,Mayo Clinic,Other,0,0,1,0.0,Phase 1/Phase 2,0,2008.0,0,1,1,0,0,0,0,1,0,0,1,1898
NCT00694655,0,0,0,0,0,0,2020-12-31,2021-12-31,,Emory University,Other,0,0,1,5.0,,0,2008.0,0,0,1,0,0,0,0,0,0,0,1,947
NCT00695409,1,1,0,1,0,1,2017-03-27,2018-03-27,2018-04-04,City of Hope Medical Center,Other,0,0,1,1.0,Phase 2,0,2008.0,1,1,1,0,0,1,0,0,0,0,1,358
NCT00703105,0,0,0,0,0,0,2020-07-31,2021-07-31,,Loyola University,Other,0,0,0,1.0,Phase 2,0,2008.0,0,0,1,0,0,0,0,0,0,0,1,102
NCT00715442,0,0,0,0,0,0,2019-06-30,2020-06-30,,M.D. Anderson Cancer Center,Other,0,1,0,1.0,Phase 2,0,2008.0,0,1,0,0,0,0,0,0,0,0,1,2066
NCT00746018,1,1,0,1,0,0,2017-07-31,2018-07-31,2018-01-04,Memorial Sloan Kettering Cancer Center,Other,0,0,0,5.0,,0,2008.0,1,0,0,1,0,0,0,0,0,0,1,1432
NCT00761228,0,0,0,0,0,0,2018-12-31,2019-12-31,,NeuroHealing Pharmaceuticals Inc.,Industry,1,0,1,1.0,Phase 2,0,2010.0,1,1,0,0,0,0,0,0,0,0,1,3
NCT00770822,0,0,0,0,0,0,2020-07-31,2021-07-31,,SonaCare Medical,Industry,1,0,0,5.0,,0,2007.0,0,0,0,1,0,0,0,0,0,0,1,4
NCT00826020,1,0,1,1,0,1,2017-08-31,2018-08-31,2019-04-22,University of Nebraska,Other,0,0,0,1.0,Phase 2,0,2009.0,1,1,0,0,0,0,0,0,0,0,1,327
NCT00836186,0,0,0,0,0,0,2020-03-31,2021-03-31,,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Other,0,0,0,5.0,,0,2009.0,0,0,0,0,0,1,0,0,0,0,1,461
NCT00877500,0,0,0,0,0,0,2020-04-30,2021-04-30,,M.D. Anderson Cancer Center,Other,0,0,1,1.0,Phase 2,0,2009.0,0,1,0,0,0,0,0,0,0,0,1,2066
NCT00896493,0,0,0,0,0,0,2022-12-31,2023-12-31,,Stanford University,Other,0,0,0,1.0,Phase 2,0,2009.0,0,1,0,0,0,1,0,0,0,0,1,1309
NCT00909363,1,1,0,1,0,1,2017-05-15,2018-05-15,2018-12-21,Weill Medical College of Cornell University,Other,0,1,0,1.0,Phase 2,1,2009.0,1,1,0,0,1,0,0,0,0,0,1,586
NCT00916747,0,0,0,0,0,0,2019-07-31,2020-07-31,,Boston Children’s Hospital,Other,0,1,0,1.0,Phase 2,0,2009.0,0,1,0,0,0,0,0,0,0,0,1,400
NCT00943800,0,0,0,0,0,0,2018-09-30,2019-09-30,,University of Chicago,Other,0,0,0,5.0,,0,2006.0,1,1,0,0,0,0,0,0,0,0,1,594
NCT00946712,1,1,0,1,0,1,2017-08-31,2018-08-31,2018-12-06,Southwest Oncology Group,Other,0,0,1,3.0,Phase 3,0,2009.0,1,1,1,0,0,0,0,0,1,0,1,288
NCT00980460,0,0,0,0,0,0,2019-12-31,2020-12-31,,National Cancer Institute (NCI),NIH,2,0,0,3.0,Phase 3,0,2009.0,0,1,0,0,0,0,0,0,1,0,1,3004
NCT00981656,0,0,0,0,0,0,2018-10-31,2019-10-31,,Radiation Therapy Oncology Group,Other,0,0,1,1.0,Phase 2,0,2009.0,0,1,0,0,0,0,0,0,0,0,1,156
NCT01000051,1,1,0,1,0,1,2018-04-04,2019-04-04,2019-06-18,M.D. Anderson Cancer Center,Other,0,1,0,1.0,Phase 2,0,2010.0,1,1,0,0,0,0,0,0,0,0,1,2066
NCT01010126,1,1,0,1,0,1,2017-03-13,2018-03-13,2018-09-20,National Cancer Institute (NCI),NIH,2,0,0,1.0,Phase 2,0,2009.0,1,1,1,0,0,0,0,0,1,0,1,3004
NCT01012817,0,0,0,0,0,0,2020-08-31,2021-08-31,,National Cancer Institute (NCI),NIH,2,0,0,0.0,Phase 1/Phase 2,0,2009.0,0,1,0,0,0,0,0,0,0,0,1,3004
NCT01036087,0,0,0,0,0,0,2021-11-30,2022-11-30,,M.D. Anderson Cancer Center,Other,0,1,0,1.0,Phase 2,0,2010.0,0,1,0,0,0,0,0,0,0,0,1,2066
NCT01040000,1,0,1,1,0,0,2017-03-31,2018-03-31,2018-01-17,"Precision Biologics, Inc",Industry,1,0,0,0.0,Phase 1/Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,3
NCT01042379,0,0,0,0,0,0,2020-12-31,2021-12-31,,QuantumLeap Healthcare Collaborative,Other,0,0,0,1.0,Phase 2,0,2010.0,0,1,0,0,0,0,0,0,0,0,1,1
NCT01064479,0,0,0,0,0,0,2021-02-28,2022-02-28,,M.D. Anderson Cancer Center,Other,0,0,1,1.0,Phase 2,0,2010.0,0,1,0,0,0,0,0,0,0,0,1,2066
NCT01077518,0,0,0,0,0,0,2018-01-03,2019-01-03,,Novartis Pharmaceuticals,Industry,1,0,0,3.0,Phase 3,1,2010.0,1,1,0,0,0,0,0,0,1,0,1,1895
NCT01088802,0,0,0,0,0,0,2021-08-31,2022-08-31,,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Other,0,0,0,1.0,Phase 2,0,2010.0,0,1,0,0,0,1,0,0,0,0,1,461
NCT01097642,0,0,0,0,0,0,2019-12-31,2020-12-31,,"Jenny C. Chang, MD",Other,0,1,0,1.0,Phase 2,0,2008.0,0,1,0,0,0,0,0,0,0,0,1,11
NCT01150045,0,0,0,0,0,0,2019-12-31,2020-12-31,,Alliance for Clinical Trials in Oncology,Other,0,0,1,3.0,Phase 3,0,2010.0,0,1,0,0,0,0,0,0,1,0,1,456
NCT01154920,0,0,0,0,0,0,2019-07-31,2020-07-31,,M.D. Anderson Cancer Center,Other,0,0,0,1.0,Phase 2,0,2010.0,0,1,0,0,0,1,0,0,0,0,1,2066
NCT01183884,0,0,0,0,0,0,2018-11-09,2019-11-09,,Memorial Sloan Kettering Cancer Center,Other,0,0,0,1.0,Phase 2,0,2010.0,1,0,1,0,0,0,0,0,0,0,1,1432
NCT01186978,0,0,0,0,0,0,2021-05-31,2022-05-31,,Duke University,Other,0,0,0,5.0,,0,2010.0,0,0,0,0,0,1,0,0,0,0,1,1342
NCT01201356,0,0,0,0,0,0,2018-10-19,2019-10-19,,Novartis Pharmaceuticals,Industry,1,0,0,3.0,Phase 3,0,2010.0,1,1,0,0,0,0,0,0,1,0,1,1895
NCT01204684,0,0,0,0,0,0,2020-01-31,2021-01-31,,Jonsson Comprehensive Cancer Center,Other,0,0,0,1.0,Phase 2,0,2010.0,0,0,1,0,0,0,0,0,0,0,1,277
NCT01206530,1,0,0,0,1,0,2017-09-30,2018-09-30,,Abramson Cancer Center of the University of Pennsylvania,Other,0,0,0,0.0,Phase 1/Phase 2,0,2010.0,1,1,0,0,0,0,0,0,0,0,1,273
NCT01217931,0,0,0,0,0,0,2020-01-31,2021-01-31,,M.D. Anderson Cancer Center,Other,0,1,0,1.0,Phase 2,0,2011.0,0,1,0,0,0,0,0,0,0,0,1,2066
NCT01233960,0,0,0,0,0,0,2019-02-28,2020-02-28,,Mesoblast International Sàrl,Industry,1,0,0,3.0,Phase 3,0,2010.0,1,1,0,0,0,0,0,0,1,0,1,17
NCT01256398,1,1,0,1,0,1,2017-11-14,2018-11-14,2019-02-04,National Cancer Institute (NCI),NIH,2,0,0,1.0,Phase 2,0,2010.0,0,1,1,0,0,0,0,0,0,0,1,3004
NCT01265433,1,0,0,0,1,0,2017-07-25,2018-07-25,,Sellas Life Sciences Group,Industry,1,0,1,1.0,Phase 2,0,2010.0,1,0,1,0,0,0,0,0,0,0,1,3
NCT01272245,1,1,0,1,0,1,2017-01-31,2018-01-31,2018-03-19,M.D. Anderson Cancer Center,Other,0,1,0,1.0,Phase 2,0,2011.0,1,1,0,0,0,0,0,0,0,0,1,2066
NCT01274338,0,0,0,0,0,0,2020-05-01,2021-05-01,,National Cancer Institute (NCI),NIH,2,0,0,3.0,Phase 3,0,2011.0,0,0,1,0,0,0,0,0,1,0,1,3004
NCT01302834,1,0,0,0,1,0,2018-07-12,2019-07-12,,Radiation Therapy Oncology Group,Other,0,0,1,3.0,Phase 3,0,2011.0,0,1,1,0,0,0,0,0,1,0,1,156
NCT01306656,0,1,0,1,0,1,2017-02-28,2018-02-28,2018-05-02,Columbia University,Other,0,0,1,4.0,Phase 4,0,2011.0,1,1,0,0,0,0,0,0,0,0,1,675
NCT01307501,1,0,1,1,0,1,2018-08-30,2019-08-30,2019-09-06,Galil Medical,Industry,1,0,0,5.0,,0,2011.0,1,0,0,1,0,0,0,0,1,0,1,8
NCT01344356,1,0,0,0,1,0,2018-05-31,2019-05-31,,Mercy Research,Other,0,0,0,4.0,Phase 4,0,2008.0,1,0,0,0,0,1,0,0,0,0,1,15
NCT01352598,1,0,0,0,1,0,2018-06-30,2019-06-30,,Mercy Research,Other,0,0,0,4.0,Phase 4,0,2011.0,1,0,0,0,0,1,0,0,0,0,1,15
NCT01353313,0,0,0,0,0,0,2020-01-31,2021-01-31,,NICHD Neonatal Research Network,Other,0,0,1,3.0,Phase 3,0,2011.0,0,1,0,0,0,0,0,0,0,0,1,59
NCT01359969,0,0,0,0,0,0,2017-07-17,2018-07-17,,Pharming Technologies B.V.,Industry,1,0,0,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,1,0,1,11
NCT01362595,1,0,0,0,1,0,2018-06-30,2019-06-30,,Northwell Health,Other,0,0,0,0.0,Phase 1/Phase 2,0,2013.0,0,1,0,0,0,0,0,0,0,0,1,271
NCT01369212,0,0,0,0,0,0,2019-08-31,2020-08-31,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,2,0,1,5.0,,0,2012.0,0,1,0,0,0,0,0,0,1,0,1,495
NCT01396148,1,1,0,1,0,0,2017-08-31,2018-08-31,2018-02-12,Pfizer,Industry,1,0,0,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,1,0,1,2856
NCT01400607,0,0,0,0,0,0,2020-09-30,2021-09-30,,"ISTO Technologies, Inc.",Industry,1,0,0,3.0,Phase 3,1,2011.0,0,0,1,0,0,0,0,0,0,0,1,3
NCT01409811,0,0,0,0,0,0,2019-04-30,2020-04-30,,City of Hope Medical Center,Other,0,0,1,5.0,,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,358
NCT01420237,0,0,0,0,0,0,2026-06-30,2027-06-30,,Stryker Orthopaedics,Industry,1,0,0,5.0,,0,2011.0,0,0,0,1,0,0,0,0,1,0,1,24
NCT01420627,0,0,0,0,0,0,2019-05-29,2020-05-29,,"Leadiant Biosciences, Inc.",Industry,1,0,0,3.0,Phase 3,0,2013.0,1,0,1,0,0,0,0,0,0,0,1,4
NCT01451853,0,0,0,0,0,0,2019-06-26,2020-06-26,,"Sound Pharmaceuticals, Incorporated",Industry,1,0,1,1.0,Phase 2,0,2018.0,0,1,0,0,0,0,0,0,0,1,0,7
NCT01456949,1,1,0,1,0,0,2017-11-30,2018-11-30,2018-11-21,Medtronic Cardiac Rhythm and Heart Failure,Industry,1,0,0,5.0,,0,2012.0,1,0,0,1,0,0,0,0,1,0,1,169
NCT01459497,0,0,0,0,0,0,2021-12-31,2022-12-31,,University of Texas Southwestern Medical Center,Other,0,0,0,3.0,Phase 3,0,2012.0,0,0,0,0,0,1,0,0,0,0,1,626
NCT01462006,0,0,0,0,0,0,2018-11-30,2019-11-30,,University of Virginia,Other,0,0,1,5.0,,0,2015.0,1,1,0,0,0,0,0,0,0,0,1,402
NCT01474148,0,0,0,0,0,0,2020-01-31,2021-01-31,,VA Office of Research and Development,U.S. Fed,2,0,0,5.0,,0,2011.0,0,0,0,1,0,0,0,0,0,0,1,1012
NCT01479829,0,0,0,0,0,0,2019-03-31,2020-03-31,,Loyola University,Other,0,0,0,4.0,Phase 4,0,2011.0,1,1,0,0,0,0,0,0,0,0,1,102
NCT01485393,1,0,1,1,0,0,2018-08-31,2019-08-31,2019-01-04,Massachusetts General Hospital,Other,0,0,1,5.0,,0,2015.0,1,1,0,0,0,0,0,0,0,0,1,1699
NCT01488097,1,1,0,1,0,0,2017-06-21,2018-06-21,2016-01-14,Alexion Pharmaceuticals,Industry,1,0,0,1.0,Phase 2,0,2011.0,1,1,0,0,0,0,0,0,1,0,1,86
NCT01495637,0,0,0,0,0,0,2019-12-31,2020-12-31,,Mark Hall,Other,0,0,1,4.0,Phase 4,0,2011.0,0,1,0,0,0,0,0,0,0,0,1,1
NCT01499888,0,0,0,0,0,0,2021-05-31,2022-05-31,,University of Illinois at Chicago,Other,0,0,0,0.0,Phase 1/Phase 2,0,2011.0,0,1,0,0,0,0,0,0,0,0,1,242
NCT01510184,1,0,0,0,1,0,2018-02-28,2019-02-28,,"Spectrum Pharmaceuticals, Inc",Industry,1,0,0,3.0,Phase 3,1,2012.0,1,1,0,0,0,0,0,0,1,0,1,67
NCT01517451,0,0,0,0,0,0,2021-05-22,2022-05-22,,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Other,0,0,0,0.0,Phase 1/Phase 2,0,2013.0,0,1,0,0,0,1,0,0,0,0,1,461
NCT01522404,1,1,0,1,0,0,2017-10-31,2018-10-31,2018-10-31,Emory University,Other,0,0,1,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,947
NCT01530269,0,0,0,0,0,0,2019-01-31,2020-01-31,,Phoenix Molecular Imaging,Other,0,0,0,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,3
NCT01534052,1,1,0,1,0,0,2017-04-18,2018-04-18,2018-03-26,Astellas Pharma Inc,Industry,1,1,0,1.0,Phase 2,0,2011.0,1,1,0,0,0,0,0,0,1,0,1,506
NCT01535157,1,0,0,0,1,0,2018-06-30,2019-06-30,,South Plains Oncology Consortium,Other,0,0,0,0.0,Phase 1/Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,6
NCT01555541,1,1,0,1,0,1,2017-07-06,2018-07-06,2019-03-03,C. Babis Andreadis,Other,0,1,0,1.0,Phase 2,0,2012.0,0,1,0,0,0,0,0,0,0,0,1,2
NCT01570387,0,0,0,0,0,0,2018-11-30,2019-11-30,,Vaishali Sanchorawala,Other,0,1,0,0.0,Phase 1/Phase 2,0,2012.0,0,1,0,0,0,0,0,0,0,0,1,3
NCT01573572,0,0,0,0,0,0,2019-11-01,2020-11-01,,"Bausch Health Americas, Inc.",Industry,1,0,0,4.0,Phase 4,0,2010.0,0,1,0,0,0,0,0,0,0,0,1,180
NCT01578109,0,0,0,0,0,0,2018-12-31,2019-12-31,,National Cancer Institute (NCI),NIH,2,0,0,5.0,,0,2012.0,0,1,0,0,0,0,0,0,0,0,1,3004
NCT01579162,0,0,0,0,0,0,2019-12-31,2020-12-31,,"HepQuant, LLC",Industry,1,0,0,5.0,,0,2012.0,0,0,0,1,0,0,0,0,0,0,1,4
NCT01582672,1,0,0,0,1,0,2018-04-30,2019-04-30,,Argos Therapeutics,Industry,1,0,0,3.0,Phase 3,1,2012.0,1,1,1,0,0,0,0,0,1,0,1,10
NCT01588821,1,1,0,1,0,0,2017-01-31,2018-01-31,2017-12-11,Massachusetts General Hospital,Other,0,0,0,1.0,Phase 2,0,2012.0,0,1,0,0,0,0,0,0,0,0,1,1699
